"STRINGVAL","CHARTVER_ID","PANELVER_ID","REP_ID","LLDG_GEOM"
"NZ55",701,2067,85107032,oracle.sql.STRUCT@70817bf3
"NZ4632",2741,7907,85107361,oracle.sql.STRUCT@7b3913e8
"NZ7623",1001,3451,85107242,oracle.sql.STRUCT@689ab21
"NZ7621",3721,10527,85107314,oracle.sql.STRUCT@134746e7
"NZ7621",3721,10544,85107316,oracle.sql.STRUCT@6862f99f
"NZ532",6142,18328,82148301,
"NZ521",2241,6947,82318582,
"NZ532",2201,6804,82738856,
"NZ5412",6418,68684,82915809,
"NZ5412",6418,67706,82915814,
"NZ5125",2901,8271,82868227,
"NZ232",3801,12064,82897225,
"NZ232",3801,14224,82897228,
"NZ232",3801,14228,82897229,
"NZ232",3801,14232,82897230,
"NZ6144",1041,3515,82897231,
"NZ6144",1041,3519,82897234,
"NZ6212",1841,5887,82927076,
"NZ6151",2721,7847,82927127,
"NZ14628",6420,73684,82937205,
"NZ4423",2781,7947,82947781,
"NZ26",2041,6487,82947792,
"NZ26",6430,87696,82947792,
"NZ22",1741,5605,82842194,
"NZ4111",3961,15110,82913856,
"NZ 5217",6408,56691,83144462,
"NZ14612",1381,4767,83088411,
"NZ7654",4101,11667,83088638,
"NZ7654",4101,15164,83088654,
"NZ7654",4101,15224,83088656,
"NZ31",2101,6627,83098669,
"NZ68",1241,4187,83090689,
"NZ6151",2721,7853,83032168,
"NZ6151",2721,7864,83032171,
"NZ6151",2721,7870,83032176,
"NZ6151",2721,7884,83032180,
"NZ25",2941,8504,83243489,
"NZ53",4181,11884,83243490,
"NZ443",181,462,83243493,
"NZ4424",1701,5407,83234350,
"NZ5216",2561,7626,83234370,
"NZ5219",1461,4944,83234402,
"NZ5219",4641,14824,83284157,
"NZ14909",3241,9107,83174278,
"NZ2681",4341,12367,83184613,
"NZ2681",4341,12373,83184616,
"NZ2681",4341,12448,83184622,
"NZ2681",4341,12484,83184626,
"NZ23",2861,8184,83204265,
"NZ14630",4501,13507,83244872,
"NZ8277",2921,8384,83264930,
"NZ14903",3701,10513,83265043,
"NZ6324",801,2427,83275393,
"NZ6324",801,2427,83275394,
"NZ6324",801,2427,83275395,
"NZ6324",801,2427,83275396,
"NZ6324",801,2427,83275397,
"NZ6324",801,2427,83275398,
"NZ6324",801,2431,83275401,
"NZ6324",801,2431,83275402,
"NZ6324",801,2431,83275403,
"NZ5323",1481,4964,83205407,
"NZ5323",1481,4965,83205431,
"NZ5323",1481,4966,83205434,
"NZ22",1741,5604,83205576,
"NZ22",1741,5604,83205591,
"NZ2681",4341,12424,83205592,
"NZ14051",4222,12864,83215283,
"NZ14060",4441,12707,83215293,
"NZ2411",4141,11768,83275595,
"NZ2411",4141,11768,83275596,
"NZ2411",4141,11747,83275600,
"NZ2411",4141,11747,83275601,
"NZ7655",963,3145,83276082,
"NZ7655",963,3145,83276083,
"NZ7655",963,3145,83276084,
"NZ31",2101,6627,83206002,
"NZ955",4481,63690,83206341,
"NZ5324",4183,11892,83236876,
